Nombre científico ;Nombre común ;Familia 
Curatella americana L. ;Chaparro , Chumico , Chumico de palo , Hoja de chigüe , Lija , Raspaguacal , Raspa-guacal , Yahal , Yajal ;Dilleniaceae 
Cybistax donnell-smithii (Rose) Seibert ;Primavera ;Bignoniaceae 
Cycas circinalis L. ;Cyca ;Cycadaceae 
Cycas revoluta Thunb. ;Cyca ;Cycadaceae 
Cynometra hemitomophylla (Donn. Sm.) Britton & Ros ;Aceitillo , Caracolillo ;Fabaceae-Caes. 
Cynometra hemitomophylla (Donn. Sm.) Britton & Ros ;Cativo , Guapinol negro ;Fabaceae-Caes. 
Cynometra retusa Britton & Rose ;Guapinol negro ;Fabaceae-Caes. 
Cyrtostachys renda Blume ;Palma de lacre ;Arecaceae 
Dalbergia glomerata Hemsl. ;Granadillo ;Fabaceae-Pap. 
Dalbergia melanocardium Pittier ;Cocobolo Cristobal ;Fabaceae-Pap. 
Dalbergia retusa Hemsl. ;Cachimbo , Cocobola , Cocobolo , Ñambar ;Fabaceae-Pap. 
Delonix regia (Bojer) Raf. ;Clavelina , Clavellina Flamboyán , Framboyán , Malinche ;Fabaceae-Caes. 
Dendropanax arboreus (L.) Decne. & Planch. ;Cacho de venado , Fosforillo , Mastate , Matagente , Palomo , Palomo , Volador , Zopilote ;Araliaceae 
Desmoncus costaricensis (Kuntze) Burret ;Desmoncus ;Arecaceae 
Dialium guianense (Aubl.) Sandwith ;Alfeñique , Comenegro , Fierrillo , Paludismo , Sangrillo , Sangrillo negro , Tamarindo , Tamarindo de montaña ;Fabaceae-Caes. 
Dilodendron costaricense (Radlk.) A. H. Gentry & S ;Casarillo , Comenegro , Gallinazo , Iguano , Loro , Quiebrahacha ;Sapindaceae 
Diospyros salicifolia Willd. ;Nanciguiste ;Ebenaceae 
Diphysa americana (Mill.) M. Sousa ;Guachipelín  ;Fabaceae-Pap. 
Dipteryx panamensis (Pittier) Record & Mell ;Almendro ;Fabaceae-Pap. 
Dipteryx panamensis (Pittier) Record & Mell ;Almendro amarillo , Almendro de montaña , Almendro papayo , Almendrón , Brok , Dayëkalí , Eboe ;Fabaceae-Pap. 
Dracaena fragrans (L.) Ker Gawl. ;Dracaema ;Dracaenaceae 
Drimys granadensis L.f. ;Chile Chile muelo , Muelo , Quiebramuelas ;Winteraceae 
Drypetes glauca Vahl ;Asolillo Sardinillo ;Euphorbiaceae 
Dussia cuscatlanica (Standl.) Standl. & Steye ;Sangrillo , Sangrillo amarillo , Targuayuyo , Targuayuyo amarillo , Targuayuyo blanco , Targuayuyo marillo ;Fabaceae-Pap. 
Dussia macroprophyllata (Donn. Sm.) Harms ;Bateo , Frijolón , Granadillo , Paleta carey , Sangregao , Sangrillo , Sangrillo amarillo , Targuayugo , Targuayugo amarillo , Targuayugo blanco ;Fabaceae-Pap. 
Dussia tessmannii Harms ;Frijolón Sangrillo ;Fabaceae-Pap. 
Dystomovita paniculata (Donn. Sm.) Hammel ;Mangle colorado ;Clusiaceae 
Elaeis guineensis Jacq. ;Palma africana Palma de aceite ;Arecaceae 
Elaeis oleifera (Kunth) Cortes ;Corozo Palmiche ;Arecaceae 
Elaeoluma glabrescens (Mart. & Eichler) Aubrev. ;Carey ;Sapotaceae 
Enterolobium cyclocarpum (Jacq.) Griseb. ;Choreja , Genízaro , Guanacaste , Jarina ;Fabaceae-Mim. 
Enterolobium cyclocarpum (Jacq.) Griseb. ;Jariña , Kili , Kolo , Kölö , Kyër , Soró ;Fabaceae-Mim. 
Enterolobium schomburgkii (Benth.) Benth. ;Guanacaste , Guanacaste blanco , Guanacaste macho , Guanacastillo ;Fabaceae-Mim. 
Eriobotrya japonica (Thunb.) Lindl.  ;Níspero , Níspero de  Japón ;Rosaceae 
Erythrina cochleata Standl. ;Poro  ;Fabaceae-Pap. 
Erythrina costaricensis Micheli ;Poró ;Fabaceae-Pap. 
Erythrina fusca Lour. ;Poro , Poró blanco ;Fabaceae-Pap. 
Erythrina poeppigiana (Walp.) O. F. Cook ;Bucare , Poró , Poró extranjero , Poró gigante ;Fabaceae-Pap. 
Erythrina spp ;Poró ;Fabaceae-Pap. 
Escallonia myrtilloides L. f. ;Arrayán amarillo , Cipresillo , Cipreso , Guitemonte , Madroño ;Grossulariaceae 
Eschweilera calyculata Pittier ;Comenegro , Matacansado , Repollito , Sombrerito ;Lecythidaceae 
Eucalyptus camaldulensis Dehnhardt. ;Eucalipo ;Myrtaceae 
Eucalyptus deglupta Blume ;Eucalipo ;Myrtaceae 
Eucalyptus globulos Labill. ;Eucalipo ;Myrtaceae 
Eucalyptus grandis Hill ex Maid ;Eucalipo ;Myrtaceae 
